identifier,INF2cnt,INF4cnt,INF3cnt
ENSMUSG00000003032,276,319,247
ENSMUSG00000003033,1622,1596,1516
ENSMUSG00000003037,2939,3187,3158
ENSMUSG00000003038,921,873,908
ENSMUSG00000003039,3051,2784,2680
ENSMUSG00000003062,2433,2263,2556
ENSMUSG00000003068,433,682,346
ENSMUSG00000003070,22,37,30
ENSMUSG00000003072,2808,3289,2669
ENSMUSG00000003099,492,639,612
ENSMUSG00000003119,515,351,473
ENSMUSG00000003123,111,172,151
ENSMUSG00000003131,1966,1417,2346
ENSMUSG00000003134,519,494,601
ENSMUSG00000003135,550,614,604
ENSMUSG00000003153,125,111,178
ENSMUSG00000003154,906,791,1095
ENSMUSG00000003161,4071,3647,4031
ENSMUSG00000003166,895,828,914
ENSMUSG00000003184,327,465,346
ENSMUSG00000003190,66,84,98
ENSMUSG00000003198,334,152,392
ENSMUSG00000003199,994,1117,866
ENSMUSG00000003200,1557,1534,1544
ENSMUSG00000003206,532,501,460
ENSMUSG00000003208,353,392,375
ENSMUSG00000003226,1874,1131,2088
ENSMUSG00000003228,88,85,73
ENSMUSG00000003233,155,139,182
ENSMUSG00000003234,575,610,619
ENSMUSG00000003235,864,738,753
ENSMUSG00000003269,1168,1285,1043
ENSMUSG00000003271,7,7,4
ENSMUSG00000003273,8,6,6
ENSMUSG00000003279,4,0,4
ENSMUSG00000003282,14,8,11
ENSMUSG00000003283,2540,2281,2617
ENSMUSG00000003299,1046,1013,1014
ENSMUSG00000003308,1154,1114,1184
ENSMUSG00000003316,2916,2893,3174
ENSMUSG00000003341,0,6,0
ENSMUSG00000003344,281,243,229
ENSMUSG00000003345,1643,1828,1733
ENSMUSG00000003346,1384,1888,1648
ENSMUSG00000003348,1830,1955,2102
ENSMUSG00000003352,0,8,1
ENSMUSG00000003355,16,8,14
ENSMUSG00000003360,80,146,77
ENSMUSG00000003363,20160,20869,19271
ENSMUSG00000003378,10,12,16
ENSMUSG00000003379,3,9,4
ENSMUSG00000003380,3614,4734,3331
ENSMUSG00000003382,3911,3537,4112
ENSMUSG00000003402,899,1027,877
ENSMUSG00000003410,1,1,0
ENSMUSG00000003411,5,26,12
ENSMUSG00000003418,30,21,19
ENSMUSG00000003420,3427,3674,3303
ENSMUSG00000003421,840,1004,822
ENSMUSG00000003423,610,792,590
ENSMUSG00000003429,5829,6261,5127
ENSMUSG00000003435,1794,1606,1738
ENSMUSG00000003437,1411,1279,1313
ENSMUSG00000003438,911,924,856
ENSMUSG00000003444,387,437,369
ENSMUSG00000003452,1,3,0
ENSMUSG00000003458,4726,4215,5287
ENSMUSG00000003464,1728,1498,1716
ENSMUSG00000003484,415,380,348
ENSMUSG00000003500,459,516,451
ENSMUSG00000003518,3700,3995,3651
ENSMUSG00000003526,75,109,97
ENSMUSG00000003527,682,572,610
ENSMUSG00000003528,2252,2303,2165
ENSMUSG00000003531,340,398,330
ENSMUSG00000003541,1220,1514,1348
ENSMUSG00000003545,143,73,84
ENSMUSG00000003546,2649,2840,2550
ENSMUSG00000003549,283,396,303
ENSMUSG00000003559,28,6,20
ENSMUSG00000003573,718,742,737
ENSMUSG00000003575,230,210,193
ENSMUSG00000003581,530,483,474
ENSMUSG00000003585,0,7,2
ENSMUSG00000003604,296,263,215
ENSMUSG00000003617,199,158,215
ENSMUSG00000003623,551,420,629
ENSMUSG00000003644,1279,1312,1516
ENSMUSG00000003660,1537,1445,1709
ENSMUSG00000003662,701,755,635
ENSMUSG00000003680,1714,2004,1772
ENSMUSG00000003721,645,595,834
ENSMUSG00000003731,450,551,511
ENSMUSG00000003746,1973,1462,2046
ENSMUSG00000003752,229,254,270
ENSMUSG00000003762,275,269,288
ENSMUSG00000003778,640,622,845
ENSMUSG00000003779,180,213,216
ENSMUSG00000003808,940,753,807
ENSMUSG00000003809,229,207,222
ENSMUSG00000003810,555,471,471
ENSMUSG00000003812,1350,1378,1162
ENSMUSG00000003813,1253,1379,1108
ENSMUSG00000003814,6904,6068,6402
ENSMUSG00000003824,173,162,215
ENSMUSG00000003847,754,489,672
ENSMUSG00000003848,392,387,339
ENSMUSG00000003849,104,75,54
ENSMUSG00000003863,20,26,22
ENSMUSG00000003865,197,159,218
ENSMUSG00000003868,378,510,320
ENSMUSG00000003872,7,5,1
ENSMUSG00000003873,2392,2743,2087
ENSMUSG00000003882,4150,3078,3881
ENSMUSG00000003923,444,445,556
ENSMUSG00000003929,210,83,146
ENSMUSG00000003934,0,0,2
ENSMUSG00000003948,213,201,276
ENSMUSG00000003949,2,12,5
ENSMUSG00000003955,242,261,194
ENSMUSG00000003970,4542,5675,4036
ENSMUSG00000003992,105,95,162
ENSMUSG00000004018,488,427,483
ENSMUSG00000004032,197,231,190
ENSMUSG00000004035,0,1,0
ENSMUSG00000004038,0,0,5
ENSMUSG00000004040,1965,1962,1979
ENSMUSG00000004043,327,283,295
ENSMUSG00000004044,19,22,10
ENSMUSG00000004054,1443,1406,1426
ENSMUSG00000004056,1027,1073,1038
ENSMUSG00000004069,720,507,694
ENSMUSG00000004070,2337,2495,2301
ENSMUSG00000004071,2260,2161,2197
ENSMUSG00000004085,452,478,522
ENSMUSG00000004096,2860,2641,2643
ENSMUSG00000004098,1,0,0
ENSMUSG00000004099,675,674,738
ENSMUSG00000004100,400,388,280
ENSMUSG00000004105,2353,2248,2618
ENSMUSG00000004113,9,4,2
ENSMUSG00000004127,37,53,63
ENSMUSG00000004151,36,26,40
ENSMUSG00000004187,28,8,22
ENSMUSG00000004207,112204,127241,107118
ENSMUSG00000004221,1678,1305,1973
ENSMUSG00000004233,134,106,150
ENSMUSG00000004263,31,36,43
ENSMUSG00000004264,2607,2543,2181
ENSMUSG00000004266,5942,4990,5887
ENSMUSG00000004267,251,187,174
ENSMUSG00000004268,1098,1114,952
ENSMUSG00000004270,1473,1468,1658
ENSMUSG00000004285,8806,9143,7571
ENSMUSG00000004296,4,3,22
ENSMUSG00000004317,697,520,701
ENSMUSG00000004319,891,817,1036
ENSMUSG00000004347,14,35,38
ENSMUSG00000004356,236,199,267
ENSMUSG00000004359,744,545,826
ENSMUSG00000004364,2783,1957,3170
ENSMUSG00000004371,1,0,1
ENSMUSG00000004383,177,173,207
ENSMUSG00000004393,858,874,701
ENSMUSG00000004394,1443,1492,1515
ENSMUSG00000004446,956,851,952
ENSMUSG00000004451,1977,2150,2336
ENSMUSG00000004455,401,343,359
ENSMUSG00000004460,2489,2397,2462
ENSMUSG00000004462,266,183,286
ENSMUSG00000004473,50,49,57
ENSMUSG00000004500,111,111,85
ENSMUSG00000004508,1939,1530,1827
ENSMUSG00000004530,12533,12281,13270
ENSMUSG00000004535,5941,4387,6158
ENSMUSG00000004552,190,144,188
ENSMUSG00000004558,1,7,15
ENSMUSG00000004561,152,98,136
ENSMUSG00000004562,88,105,101
ENSMUSG00000004565,248,242,227
ENSMUSG00000004567,2064,1907,2127
ENSMUSG00000004568,54,29,87
ENSMUSG00000004591,909,697,799
ENSMUSG00000004609,3046,2221,3529
ENSMUSG00000004610,146,190,119
ENSMUSG00000004612,3,0,0
ENSMUSG00000004626,2988,2963,2842
