Identifier,HK1cnt,HK2cnt,HK3cnt,INF2cnt,INF3cnt,INF4cnt,M01cnt,M02cnt,M03cnt
group,HK,HK,HK,INFEC,INFEC,INFEC,UN,UN,UN
ENSMUSG00000001119,0,2,0,0,0,0,0,0,0
ENSMUSG00000001120,80,99,103,69,108,111,120,102,97
ENSMUSG00000001123,3143,3610,4688,3463,3303,3893,5024,5498,4254
ENSMUSG00000001127,1298,1143,1559,1135,1012,1009,1390,1541,1481
ENSMUSG00000001128,8946,8671,14538,9687,8727,9127,11242,12480,10368
ENSMUSG00000001131,6,4,3,5,1,6,5,4,2
ENSMUSG00000001134,374,367,481,487,329,426,376,405,326
ENSMUSG00000001138,462,464,780,436,585,449,917,952,886
ENSMUSG00000001143,408,362,454,333,321,335,511,455,481
ENSMUSG00000001150,524,424,752,448,456,333,489,584,496
ENSMUSG00000001151,456,389,582,406,467,475,576,727,471
ENSMUSG00000001156,393,461,744,447,488,384,563,568,510
ENSMUSG00000001157,347,319,441,351,371,361,439,588,484
ENSMUSG00000001158,692,569,873,717,718,799,597,871,598
ENSMUSG00000001166,70,36,55,48,54,51,76,73,71
ENSMUSG00000001168,0,0,0,0,0,0,0,0,2
ENSMUSG00000001173,781,645,840,505,607,454,711,690,721
ENSMUSG00000001175,22872,21114,28538,20652,19894,19533,18794,20130,18585
ENSMUSG00000001211,1922,1915,2620,1658,1525,1556,1879,2247,1860
ENSMUSG00000001225,0,1,0,0,0,0,0,0,0
ENSMUSG00000001227,62,76,132,55,62,83,130,135,122
ENSMUSG00000001228,80,96,68,53,62,61,39,107,97
ENSMUSG00000001229,698,691,1145,546,607,544,705,867,597
ENSMUSG00000001240,5,2,1,5,5,3,7,3,5
ENSMUSG00000001247,62,33,53,60,72,38,89,85,64
ENSMUSG00000001248,1291,1154,1628,1137,1079,1068,1241,1572,1359
ENSMUSG00000001249,96,84,149,77,84,74,94,53,72
ENSMUSG00000001270,4119,4064,6137,3692,3819,4801,4733,6273,5121
ENSMUSG00000001280,1119,835,980,1106,880,868,943,1009,1019
ENSMUSG00000001281,92,98,197,108,150,149,109,141,120
ENSMUSG00000001285,211,244,318,194,247,302,271,349,282
ENSMUSG00000001288,153,203,241,151,117,127,154,177,160
ENSMUSG00000001289,2599,2111,3155,2805,2308,3053,2267,2614,2152
ENSMUSG00000001300,20,21,32,7,13,6,14,20,10
ENSMUSG00000001305,343,296,413,340,341,337,339,389,307
ENSMUSG00000001313,231,239,385,256,203,286,292,350,233
ENSMUSG00000001323,646,688,927,553,577,509,750,821,729
ENSMUSG00000001333,201,175,171,135,132,175,120,178,105
ENSMUSG00000001334,0,0,0,0,4,0,2,0,0
ENSMUSG00000001348,107,85,217,63,78,87,55,95,90
ENSMUSG00000001349,0,0,2,1,0,0,3,2,1
ENSMUSG00000001366,498,401,576,454,439,487,628,684,603
ENSMUSG00000001376,979,770,897,807,909,502,886,905,1004
ENSMUSG00000001380,928,941,1514,840,939,960,910,1043,908
ENSMUSG00000001383,1861,1563,2038,1830,1481,1727,1622,1611,1500
ENSMUSG00000001403,122,112,171,132,113,146,128,141,144
ENSMUSG00000001415,622,665,803,519,563,499,495,712,493
ENSMUSG00000001416,4148,4184,5991,3748,3400,3199,3590,3829,3436
ENSMUSG00000001418,4285,4232,6591,4506,4380,4320,5052,5771,4811
ENSMUSG00000001419,2193,1961,2895,1880,1973,1924,2537,3009,2405
ENSMUSG00000001420,70,77,123,90,127,96,144,128,100
ENSMUSG00000001424,1865,2229,3032,1495,1610,1475,1964,2441,1942
ENSMUSG00000001435,596,660,927,347,341,345,413,617,436
