"Peak id","Mass","RT","UN_1.mzXML","UN4.mzXML","INFEC_1.mzXML","INFEC_2.mzXML","INFEC_3.mzXML","INFEC_4.mzXML","HK1.mzXML","HK2.mzXML","HK3.mzXML","HK4.mzXML","SOR_UN1.mzXML","SOR_UN2.mzXML","SOR_UN3.mzXML","SOR_UN4.mzXML","SOR_INF1.mzXML","SOR_INF2.mzXML","SOR_INF3.mzXML","SOR_HK1.mzXML","SOR_HK2.mzXML","SOR_HK3.mzXML","SOR_HK4.mzXML","Polarity","FrAnK Annotation","PiMP Annotation","KEGG ID"
"3692","252.8924","2511.58","126916.7","112275.18","110429.7","113379.45","60888.29","153302.92","122485.7","107575.71","86384.68","132093.45","104001.48","25291.74","30949.91","21894.51","26251.28","34650.36","24905.25","25042.05","24747.17","121535.84","23259.26","negative","No Fragments","",""
"3693","256.8906","2509.61","127327.5","108633.22","116227.54","107636.48","69421.46","138288.03","113667.27","114465.55","87156.48","115022.2","106226.41","36779.84","40068.55","33381.21","36145.83","39667.38","33819.32","33154.23","32691.53","121156.49","34671.31","negative","No Fragments","",""
"3694","311.8917","2531.3","90124.17","90844.78","112472.97","86092.66","100276.84","127847.55","77537.13","88686.66","97562.7","92266.95","46613.24","56053.77","60010.82","51635.96","59671.84","58839.03","55183.17","51178","55656.93","45290.7","49773.08","negative","No Fragments","",""
"3695","101.9809","551.19","463230.28","440457.63","455534.94","415193.53","515947.53","537962.5","423059.03","418514.25","449855.09","427537.88","294453.44","422465.81","341954.91","340960.19","305665.97","354259.97","421637.78","356246.34","347218.09","295260.13","357944.16","negative","No Fragments","",""
"3696","159.8869","551.71","368204.59","355800.13","334949.75","332761.94","385525.41","366063.13","330017.44","290950.53","298188.84","296169.03","135461.78","258136.03","240032.28","159970.8","152195.31","244720.52","152402.88","184714.23","167386.33","128679.94","278014.31","negative","No Fragments","",""
"3697","161.8847","552.03","200777.13","192219.64","185258.56","187320.67","210305.44","195938.73","162131.31","175366.31","182383.63","165990.59","73918.63","154016.72","131725.2","112019.29","80067.81","136759.14","87238.41","97725.3","105820.95","78851.16","148895.97","negative","No Fragments","",""
"3698","123.9887","552.04","102196.13","84147.27","78691.09","73859.3","106732.21","116340.9","72331.88","76437.05","82211.94","62117.81","21081.46","49844.34","31345.68","25128.63","29478.07","23646.5","20223.3","26687.06","26342.65","18114.34","73748.5","negative","No Fragments","",""
"3699","163.8822","551.6","58873.21","60930.15","48906.54","59769.23","64465.92","61198.56","62847.25","51828.72","51923.89","47698.3","20446.53","55827.61","38102.67","37882.71","26746.89","37913.88","21317.88","20782.1","30458.58","26672.11","41736.96","negative","No Fragments","",""
"3700","247.9378","552.17","34886.43","32464.19","39977.39","34353.16","45009.84","50384.82","30395.38","30495.9","31491.35","21059.68","9665.45","32706.37","21799.88","24224.99","18243.74","33765.64","11037.48","20703.85","21187.54","16898.83","37931.11","negative","No Fragments","",""
"3701","241.0719","266.36","391590.72","395036.53","532831.5","503020.81","507932.47","467991.19","424410.44","375363.63","427407.91","491012.69","247842.88","240671.16","290437.16","207728.81","170893.08","227017.86","227708.14","219663.3","207678.81","285720.97","236350.48","negative","No Fragments","Elenaic acid,Genipinic acid","HMDB38126,HMDB39136"
