"Peak id","Mass","RT","24_U1.mzXML","24_U2.mzXML","24_U3.mzXML","24_U4.mzXML","24_INFEC_1.mzXML","24_INFEC_2.mzXML","24_INFEC_3.mzXML","24_INFEC_4.mzXML","24_HK1.mzXML","24_HK2.mzXML","24_HK3.mzXML","24_HK4.mzXML","24_SOR_UN1.mzXML","24_SOR_UN2.mzXML","24_SOR_UN3.mzXML","24_SOR_UN4.mzXML","24_SOR_IN2.mzXML","24_SOR_INF1.mzXML","24_SOR_INF3.mzXML","24_SOR_HK1.mzXML","24_SOR_HK2.mzXML","24_SOR_HK3.mzXML","24_SOR_HK4.mzXML","Polarity","FrAnK Annotation","PiMP Annotation","KEGG ID"
"1535","203.9556","1235.6","560265.81","561263.06","566776.31","531253.44","548401.44","522650.75","573727","574220.19","467648.59","563032.31","385612.03","463637.44","329171.91","218681.39","347382.13","204899.38","193482.16","210842.88","227847.86","200956.36","243152.19","360855.75","321369.66","positive","No Fragments","",""
"1536","209.9783","884.72","249983.09","213928.17","257591.64","451468.47","64695.93","339773.34","571875.63","440919.81","310883.88","346397.72","408100.53","345663.81","212902.39","237802.75","126522.37","175799.11","NA","194057.64","209164.23","292907.5","197791.56","163414.48","76423.59","positive","No Fragments","",""
"1537","211.0124","885.56","158702.03","156836.92","163863.64","227091.94","30938.61","285690.34","294051.47","340515.66","252814.92","243594.64","272762.06","230038.88","124455.93","242806.94","160930.52","163910.94","97833.52","197851.02","213222.16","185151.95","225570.55","139149.31","184911.67","positive","No Fragments","",""
"1538","275.9499","885.68","119020.23","158123.2","134668.91","250216.53","48444.54","158088.78","303765.78","236181.16","196087.55","194593.88","174132.56","168063.97","47431.84","113886.96","NA","NA","NA","NA","78096.16","78427.69","74453.4","47674.2","NA","positive","No Fragments","",""
"1539","162.929","1209.51","460491.88","545002.75","532281.63","505203.28","510137.97","536240.31","565218.38","487861.19","496482.47","571685.06","352931.75","393647.25","508391.72","304366.44","526612.5","273901.97","287640.88","307824.94","336366.81","275982.06","311973.78","546981.88","435400.81","positive","Annotate in FrAnK","",""
"1540","343.1327","275.43","180372.31","248498.75","262786.16","366139.25","NA","238427.25","235861.02","571226.94","479535.94","197204.83","329339.34","17425.45","202320.69","282608.47","119827.32","324314.97","256396.17","232761.08","157023.94","279304.72","296317.28","373801.28","250034.58","positive","No Fragments","Clozapine N-oxide","HMDB60900"
"1541","207.1169","292.64","108940.02","234375.48","201679.11","375990.97","NA","233823.27","156616.36","358158.38","354995.66","158420.09","386538.47","37288.64","358657.72","349403.56","275422.69","462096.31","436051.63","394541.5","247512.3","310294.59","569992.56","513853.34","379194.63","positive","No Fragments","1,4-Dimethylphenanthrene,trans,trans-1,4-Diphenyl-1,3-butadiene","C14761,C19407"
"1542","186.944","1682.57","400877.22","370767.34","369567.09","395256.5","387720.41","361862.94","188321.17","337143.66","381216.19","381417.53","561139.38","455937.56","337963.53","528979.06","347760.06","486700.56","568915.13","490331.91","531471.69","517859.66","485858.16","343622.22","388078.81","positive","No Fragments","",""
"1543","379.0697","246.42","533541.5","459842.41","497611.5","302793.63","166072.16","474116.34","231193.75","378967.03","427331.16","544658.94","568773.25","507074.56","312717.22","125201.7","261138.16","179748.66","223252.73","NA","223367.28","210090.41","288052.16","285368.66","353021","positive","No Fragments","",""
"1544","415.1513","240.19","331579.53","491335.34","294412.75","393355.03","86407.59","324202.56","488678.97","296153.84","437922.31","495385.72","438137.75","457631.38","280741.13","356976","238067.7","306465.06","279627.78","304054.59","332267.53","353097.5","568301.06","498238.94","278066.25","positive","No Fragments","11,12,14-Trihydroxy-7-methoxy-8,11,13-abietatrien-20,6-olide,12alpha-Hydroxy-13,18-dehydroparain,16α-hydroxyprednisolone,18-Oxocortisol,6-Butyryl-5,7-dihydroxy-8-(3',3'-dimethylallyl)-4-phenylcoumarin,Anguvetin,Calabaxanthone,Mesuol,Picrasin B,Rhipocephalin","C09714,C17050,HMDB00332,HMDB30655,HMDB31932,HMDB39557,HMDB61016,LMPK12100017,LMPK12100019,LMPK12120470,LMST02030194"
"1545","162.929","1671.4","460542.84","508913.41","516097.66","519507.88","514149.25","536017.56","568021.81","514888.59","511680.31","535966.69","364951.19","406448.16","447064.97","281637.81","506902.97","271547.28","290083.38","296737.41","307087.59","274309.47","301695.34","492606.66","448073.06","positive","Annotate in FrAnK","",""
"1546","162.929","1227.09","460491.88","545002.75","501293.06","505203.28","489388.84","536240.31","565218.38","479803.72","496482.47","551548.94","352931.75","383387.19","484431.22","290045.31","526612.5","273901.97","287640.88","307824.94","336366.81","269782.34","311973.78","546981.88","415975.47","positive","Annotate in FrAnK","",""
"1547","203.9557","1164.86","560265.81","541163.25","528559.06","512509.53","504009.53","513205.06","563559.19","522015.41","437644.94","547176.63","356813.75","463637.44","314605.88","196749.91","337992.63","199141.97","180497.13","188414.88","224520.06","178915.27","193035.83","321971.28","321369.66","positive","No Fragments","",""
"1548","424.3629","2581.46","454239.09","458153.78","468258.47","535915.25","506728.88","459576.47","561555.63","433539.56","508232.13","482632.41","519918.09","483462.75","386359.5","385872.19","327912.97","391901.38","365926.09","419015.03","368943.09","370114.75","402010.78","311536.97","335964.13","positive","No Fragments","",""
"1549","164.9301","1136.36","379696.94","407140.88","322243.31","483457.25","143629","432487.91","500468.22","480224.88","561468.13","344115.94","529839.5","355603.59","186964.05","258179.42","159024.05","282546.81","231728.25","260041.72","208483.2","245723.56","266168.69","217929.17","185407.75","positive","No Fragments","Dibasic sodium phosphate","C13558"
"1550","709.9343","1041.21","35535.27","28168.71","NA","32285.46","NA","37653.76","55240.1","83093.91","69404.73","NA","77947.63","53632.67","393413.13","334270.28","430172.13","398825.5","317556.75","561111.56","432532.25","378061.75","521993.69","483273.19","324737.53","positive","No Fragments","",""
"1551","710.5071","1038.86","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","103591.26","184200.73","114206.59","123289.18","91702.21","124103.56","132816.06","98297.48","154444.53","135993.13","94820.71","positive","No Fragments","",""
"1552","828.4225","1038.41","NA","NA","NA","NA","NA","NA","NA","34669.29","NA","NA","NA","NA","57832.52","99255.59","89243.39","87281.83","66744.41","112369.56","87612.53","72111.31","105364.4","67133.84","74191.13","positive","No Fragments","",""
"1553","203.9557","1121.28","560265.81","492622.03","499549.94","505681.03","504009.53","489149.38","535631.38","477370.28","437644.94","547176.63","349689.91","419586.19","314605.88","197163.61","326171.13","186822.89","169478.86","185549.08","195131.27","177918.28","191515.81","321505.97","303090.91","positive","No Fragments","",""
"1554","268.8931","1132.25","370233.31","421508.53","443605","390976.5","462876.63","423917.78","453854.13","395973.13","339739.34","448236.94","284714.5","379952.13","359679.94","255383.47","389290.56","246860.45","232764.39","245714.64","261722.47","236679.63","285560.41","375772.5","350126.03","positive","No Fragments","",""
"1555","174.0874","857.1","405221.13","273859.81","334451.13","313461.56","49124.18","558869.94","323374.31","550496.75","557491.13","489481.47","519307.5","298223.59","197998.38","151448.88","304968.34","222702.47","295158.47","207349.59","188620.84","180126.73","165975.05","160429.39","362640.25","positive","No Fragments","2-Oxoarginine,3-Ureidopropionate,5-Guanidino-2-oxopentanoate,Asparagine,D-Asparagine,Glycyl-glycine,Glycylglycine,L-Asparagine,Methylazoxymethanol acetate,N-Carbamoylsarcosine,N-Nitroso-N-methylurethane,Ureidopropionic acid","C00152,C01043,C01905,C02037,C02642,C03771,C16438,C19258,C19301,HMDB00026,HMDB00168,HMDB04225,HMDB11733,HMDB12265,HMDB33780"
"1556","259.0099","862.36","252719.31","252236.39","279883.53","182238.36","55275.86","309163.94","205832.97","280918.47","279235.72","298102.63","193050.47","177920.38","161941.81","79785.83","160391.03","116969.98","108514.73","87399.92","78482.56","91179.98","85221.93","149972.64","156989.25","positive","No Fragments","",""
"1557","225.0344","868.21","184412.95","186015.88","165917.63","135829.97","49584.94","173020.66","101073.3","173514.38","153355.81","169432.61","178383.75","154322.61","112422.18","112261.02","129851.01","120256.57","116093.16","118174.02","143124.98","96258.09","83782.44","88892.83","133982.19","positive","No Fragments","",""
"1558","225.0344","863.71","184412.95","154435.17","165917.63","125576.33","30573.75","173020.66","101073.3","173514.38","153355.81","169432.61","163730.39","146267.45","112422.18","112261.02","129851.01","120256.57","116093.16","118174.02","143124.98","96258.09","83782.44","88892.83","133982.19","positive","No Fragments","",""
"1559","309.0167","862.55","160127.77","144306.31","153351.02","103385.5","30949.46","162115.41","92649.48","143218.59","140596.11","146182.91","140059.2","151890.31","73962","46738.26","34144.15","66362.53","57413.03","65268.32","63075.85","34818.18","25749.22","70829.11","63090.54","positive","No Fragments","1,2,8-Trihydroxy-3-methylanthraquinone,2',4'-Dihydroxy-5,6-methylenedioxy-2-phenylbenzofuran,2'-Hydroxydaidzein,2-Hydroxychrysophanol,3',4',7-Trihydroxyisoflavone,3'-Hydroxydaidzein,3,4',7-Trihydroxyflavone,3,6,4'-Trihydroxyflavone,4',6,7-Trihydroxyisoflavone,4,6,4'-Trihydroxyaurone,5,2',5'-Trihydroxyflavone,5,7,2'-Trihydroxyflavone,5,7,3'-Trihydroxyisoflavone,5,8,2'-Trihydroxyflavone,6-Hydroxydaidzein,7,3',4'-Trihydroxyflavone,8-Hydroxydaidzein,Aloe-emodin,Aloeemodin,Apigenin,Baicalein,Demethyltexasin,Emodin,Galangin,Genistein,Islandicin,Lucidin,Morindone,Norizalpinin,Norobtusifolin,Norwogonin,Purpurin 1-methyl ether,Resokaempferol,Resokaempherol,Rhababerone,Rheinanthrone,Sulfuretin,Sulphuretin","C01477,C02495,C06563,C08730,C10023,C10037,C10044,C10113,C10294,C10343,C10369,C10376,C10379,C10397,C14313,C14314,C15222,C16796,HMDB02124,HMDB03217,HMDB29372,HMDB29521,HMDB30829,HMDB31715,HMDB33790,HMDB33860,HMDB34004,HMDB34409,HMDB35214,HMDB39449,HMDB41655,LMPK12050055,LMPK12050083,LMPK12050102,LMPK12050137,LMPK12050161,LMPK12050218,LMPK12110005,LMPK12110042,LMPK12110087,LMPK12110088,LMPK12110125,LMPK12111095,LMPK12111329,LMPK12111552,LMPK12111653,LMPK12130008,LMPK12130031,LMPK12160041,LMPK13040002,LMPK13040008,LMPK13040011"
"1560","219.0177","863.1","109914.09","106505.84","76355.23","73250.13","NA","103178.95","55729.81","120328.91","84468.98","102983.74","78532.61","76402.68","67165.56","NA","89533.91","48091.22","33259.68","NA","NA","NA","NA","70046.8","92272.4","positive","No Fragments","",""
"1561","438.8422","945.58","382185.72","393099.81","331384.63","465675.22","NA","452090.13","503858.97","485505.47","499343.5","336135.25","556725.94","243717.17","367077.88","438591.38","347103.25","412347.13","334573.91","402604.09","360190.88","386341.91","415942.41","421309.97","311951.28","positive","No Fragments","",""
"1562","162.929","1157.47","418367.16","535915.56","532281.63","472517.88","507143.72","492749.16","555345.38","487861.19","433231.44","517047.31","318209.72","393647.25","441924.78","304366.44","495675.06","248050.34","260122.95","292554.66","311112.72","264520.53","301100.47","507141.06","422870.78","positive","Annotate in FrAnK","",""
"1563","89.1073","2095.79","523029.97","553263.13","516415.28","546544.19","527145.19","485782.59","493083.44","447561.69","470728.47","523981.72","501008.97","495768.88","270944.78","261066.8","288607.16","275585.03","293967.84","269389.28","265012.09","274014.56","260645.75","266099.22","284827.63","positive","No Fragments","1,2-Diethylhydrazine,Putrescine","C00134,C19227,HMDB01414"
"1564","382.3162","229.71","307106.5","309788.31","312958.22","423533.22","NA","242527.42","259674.64","349731.94","225430.19","345302.41","266662.72","187776.17","368545.47","247076","285877.88","282548.25","172989.56","444910.53","339549.63","245241.56","550351.25","346163.84","300571.13","positive","No Fragments","Behenic acid(d3)","LMFA01010050"
"1565","520.3325","278.43","549076.69","91864.41","123792.52","113503.01","102928.36","81622.11","92605.8","114201.02","137789.89","71814.57","85827.65","189475.61","86510.35","104655.05","69947.17","149292.64","111972.83","135908.63","93682.94","136777.55","101065.89","127572.07","129209.88","positive","No Fragments","",""
"1566","137.9839","2508.75","416010.5","489534.41","470016.5","499344.31","435630.34","468899.25","486325.19","548676.63","440107.03","463035.91","296128.66","448537.5","217316.56","117761.84","232837.7","133870.86","165511.19","138829.08","125474.52","131782.63","129479.59","214470.81","211857.8","positive","No Fragments","",""
"1567","308.8858","2522.68","113719.07","111019.6","113000.89","111828.41","107898.16","113143.88","128967.73","113654.34","118331.66","101801.7","84073.71","110428.97","85764.66","66939.83","74044.27","67107.74","72121.28","71697.73","75242.09","59052.09","78026.22","75816.19","76514.59","positive","No Fragments","",""
"1568","214.0908","271.34","162422.2","390591.25","294254.44","468092.44","119669.86","344091.63","260446.02","391484.78","437475.41","349699.88","381363.63","151706.38","491630.69","548207.25","472085.56","510430.16","497387.75","498663.03","476276.75","465390.47","530665.81","530472","476849.38","positive","No Fragments","",""
"1569","214.0062","874.34","544992.13","228236.56","250789.06","223400.47","103344.5","260786.78","273717.69","267316.91","217705.75","296305.63","374637.66","311088.22","244505.84","321969.94","172283.95","206514.31","175071.89","273113.63","294543.53","248668.14","316705.5","201756.34","130873.12","positive","No Fragments","",""
"1570","253.9986","874.26","330375.38","204751.34","178671.31","198255.45","68522.48","294725.28","218291.61","156831.17","204103.14","264534","335876.41","304929.53","150645","173064.67","75417.25","155301.84","119942.05","162001.19","226252.36","166309.34","190148.78","111488.72","137314.09","positive","No Fragments","3-Chlorotyrosine","HMDB01885"
"1571","202.9216","657.94","358440.69","512274.47","401676.84","487268.25","520445.25","444054.72","543492","431285.56","408844.38","492461.31","306716.78","340307.78","435705","274400.16","450614.41","225882.02","201204.97","236234.23","239903","234852.73","261883.16","448257.63","384127.91","positive","No Fragments","",""
"1572","203.9556","653.39","297111.09","331150.84","332545.78","342629.88","375429.31","346362.75","413140.28","312265.41","306941.31","348202.72","222664.39","251131.31","207901.72","138324.72","213885.61","122966.2","121283.7","112731.65","119943.46","120484.76","126335.89","218216.17","174912.55","positive","No Fragments","",""
"1573","268.8931","646.44","253585.86","291548.13","247189.08","297637.28","357021.53","289386.94","342369.41","261236.41","273001.59","308885.41","200013.52","239327.05","281204.69","159794.69","330556.19","170407.83","139704.75","163538.78","186792.58","175055.55","189084.92","294378.31","240712.34","positive","No Fragments","",""
"1574","268.8932","646.44","253585.86","291548.13","247189.08","297637.28","357021.53","289386.94","342369.41","261236.41","273001.59","308885.41","200013.52","239327.05","281204.69","159794.69","330556.19","170407.83","139704.75","163538.78","186792.58","175055.55","189084.92","294378.31","240712.34","positive","No Fragments","",""
"1575","268.8931","1574.87","417053.06","441817.19","463135.06","488030.84","495605.91","450519.38","541491.81","452298.09","444872.75","501042.88","333020.06","393619.63","419928.25","303250.22","400819.5","262668.94","258525.02","286283.69","299890.19","243911.56","331506.03","385904.34","369123","positive","No Fragments","",""
"1576","329.1534","298.21","152033","507814.59","288149.66","534666.5","NA","376817.28","144842.19","541284.94","541451.25","155845.34","447439.22","21740.82","139613.55","153822.2","114672.74","175442.31","167230.16","103788.29","94293.69","105265.34","138683.7","168245.19","158996.22","positive","No Fragments","Tiapride","HMDB42039"
"1577","162.929","939.78","383119.97","451936.5","429069.22","405229.44","521710.06","466207.38","533805.56","363701.56","352433.97","486833.81","274558.28","351092.34","391401.19","210397.94","379837.72","192804.63","191217.55","216864.55","242246.13","209316.66","235121.41","350185.22","323736","positive","No Fragments","",""
"1578","250.0508","2457.61","334681.44","358110.5","332551.22","326730.56","363122.47","312962.88","307022.09","229031","359827.16","347937.44","351718.16","334956.28","466005.78","489355.22","448887.69","533210.44","479101.31","502487.13","443245.34","497435.28","458095.84","471933.09","464393.13","positive","No Fragments","",""
"1579","168.946","2412.47","514167.84","454003.38","471513.09","476142.97","449927.03","469097.94","504379.5","459401.66","465326.41","471118.41","466704.84","531949.69","252957.92","344815.66","215157.38","373850.06","277887.75","357224.81","345238.44","297466.69","354584.84","219568.81","238904","positive","No Fragments","",""
"1580","202.9216","635.04","345733.34","467967.47","401676.84","487268.25","520207.66","443462.56","530347.06","421362.53","368617.63","453439.75","273637.28","320189.81","423882.03","233596","400030.63","220460.73","201204.97","236234.23","239251.75","217800.25","256258.94","448257.63","384127.91","positive","No Fragments","",""
"1581","202.9216","644.83","358440.69","467967.47","401676.84","487268.25","520207.66","444054.72","530347.06","421362.53","408844.38","492461.31","287413.28","340307.78","423882.03","233596","450614.41","218445","201204.97","236234.23","239251.75","234852.73","256258.94","448257.63","384127.91","positive","No Fragments","",""
"1582","115.123","1051.38","468259.16","414613.75","436410.88","448731.59","432489.06","416958.91","417926.19","405702.34","401689.75","444965.72","529965.81","462157.41","361036.78","368087.56","332011.66","346496.38","332760.59","340288.22","342584.75","359373.66","358116.22","347998.28","327246.81","positive","No Fragments","1-Butylamine,2-Methyl-1-propylamine,2-Methylpropanamine,Butylamine,Diethylamine,sec-Butylamine","C02787,C18706,HMDB31321,HMDB32179,HMDB34198,HMDB41878"
"1583","147.0764","450.56","NA","NA","NA","16380.44","NA","23150.4","NA","37595.43","23735.8","17939.93","23546.35","15646.2","115421.6","81501.37","103511.56","529419.31","114363.98","96552.44","96496.04","128217.44","105210.78","117046.03","134690.06","positive","No Fragments","2-Amino-3-hydroxypropanoic acid,3-Ureidoisobutyrate,Alanyl-Glycine,Alanylglycine,D-Glutamine,D-Serine,DL-Serine,Glutamine,Isoglutamine,L-Glutamine,L-Serine,Protein serine,Ureidoisobutyric acid","C00064,C00065,C00303,C00716,C00740,C00819,C05100,C16673,HMDB00187,HMDB00641,HMDB02031,HMDB03406,HMDB03423,HMDB06899,HMDB28687,HMDB62263,LMFA01100045"
"1584","148.0968","445.52","168384.44","176881.55","194085.16","136594.84","32777.73","138162.77","109626.58","149635.86","132173.02","100970.52","145777.55","80028.27","144529.77","110983.38","286930.44","519916.47","115589.72","153824.67","125777.98","153320.88","212709.03","87198.4","186314.39","positive","No Fragments","(2R*,3R*)-1,2,3-Butanetriol,(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid,1-Methylpyrrolinium,Diethylene glycol,Fagomine,N-(2-Hydroxyethyl)-morpholine N-oxide,N-Hydroxy-L-isoleucine,Trihydroxybutane","C06178,C10144,C14689,C20310,HMDB29449,HMDB33453,HMDB34778,HMDB60253,HMDB61157,HMDB61944"
"1585","164.0294","866.2","522295.34","326472.44","507628.72","205035.55","35222.99","528543.31","164111.98","461723.81","351411.5","350487.06","518156.91","372988.06","202543.13","224637.78","347889.41","364966.06","452579.16","320853.63","325800.47","261830.91","229288.16","267169.16","459849.31","positive","No Fragments","ETF","HMDB59596"
"1586","137.9839","645.1","384704.72","435512.03","416563.75","430589.88","445694.22","506911.22","528283.25","400655.97","417467.84","446607.69","277970.94","315256.88","266935.69","133752.31","290634.25","127176.05","158369.77","131542.33","144306.73","123177.4","134524.38","259406.25","220685.41","positive","No Fragments","",""
"1587","540.447","2559.83","431881.84","460889.88","382540.72","343751.5","393254.81","357275.16","447283.72","439428.59","520110.56","393378.81","441357.47","528255.56","180501.73","173433.61","162177.31","165577.38","155762.66","137136.95","151195.34","164980.45","156812.52","147605.66","191042.13","positive","No Fragments","",""
"1588","268.8931","1261.43","422816.59","490275.84","485992.94","462134.94","487301.22","465564.16","527798.94","474168.06","432782.5","480337.59","323177.28","389879.63","416932.88","315101.03","440703.94","268233.59","268306.06","299668","321250.69","283212","321309.63","458869.81","420265","positive","No Fragments","",""
"1589","137.9839","2056.76","418330","474323.44","464702.09","430457","464019.66","484709.41","527575.94","494543.47","454087.91","439695.09","305073.28","374916.84","226817.16","137129.58","245825.13","130969.66","148387.23","136251.98","153959.72","136891.8","137906.05","279243.81","232168.2","positive","No Fragments","",""
"1590","268.8931","2029.07","361207.06","387436.41","405768.09","389372.63","411041.41","408759.28","449471.44","404212.19","374810.44","402838.03","287793.25","329618.06","318886.44","210406.48","333762.16","204051.97","208451.03","220740.58","235147.08","195006.61","234123.13","351821.44","307632.91","positive","No Fragments","",""
"1591","268.8931","1599.26","412835.09","463197.66","446936.78","462122.5","451016.31","466019.97","526605.31","483974.78","466611.03","470896.59","346444.81","399918.5","368441.72","274222","393820.94","248406.45","233052.11","263594.78","306868.69","245332.77","319594.78","391502.66","348882.16","positive","No Fragments","",""
"1592","239.1059","618.83","324754.81","174093.33","526026.19","74163.5","68384.86","143618.75","64517.55","68352.44","373590.09","56766.9","47096.89","116827.85","64739.19","69988.95","75699.52","75516.45","88817.94","76860.57","67136.21","85849.6","101290.3","99852.45","93994.51","positive","No Fragments","15(R)-hydroperoxy-EPE","HMDB62295"
"1593","175.119","1846.36","182233.31","186598.31","238697.72","107778.02","82194.82","287941.5","80576.48","445849.09","181156.22","181448.47","184562.2","151829.84","237965.73","272815.25","465713.13","332906.72","448509.81","306248.56","312107.84","239696.59","265528.53","294183.72","524853.69","positive","No Fragments","Amino acid(Arg-),D-Arginine,L-Arginine","C00062,C00792,C02385,HMDB00517,HMDB03416"
"1594","155.0815","377.53","106364.73","51251.73","179551.58","36869.26","34405.77","37976.99","524268.94","41561.88","91783.43","42222.13","39416.88","254210.39","86819.12","79058.94","82189.67","88016.02","72926.09","79833.6","80068.83","92268.72","100605.41","98744.3","78181.62","positive","No Fragments","(S)-1-Pyrroline-5-carboxylate,1-Pyrroline-2-carboxylate,1-Pyrroline-2-carboxylic acid,1-Pyrroline-5-carboxylic acid,Glutarimide,delta-1-Pyrroline-5-carboxylate","C03564,C03912,C04322,C07275,HMDB01301,HMDB06875"
"1595","260.1855","243.33","341468.75","424833.91","389834.94","301650.38","NA","394821.22","370175.63","338940.72","499873.75","333659.16","487192.81","139598.73","379580.28","523754.88","521533.47","362922.19","462535.09","465713.41","362305.03","333073.25","405282.22","431115.53","405318.72","positive","No Fragments","Hexanoylcarnitine,L-Hexanoylcarnitine,O-hexanoyl-R-carnitine","HMDB00705,HMDB00756,LMFA07070001"
"1596","540.4469","2566.66","503479.59","371159.31","452791.13","378170.84","467554.34","497822.41","523256.66","491403.94","479575.78","388465.72","454855.69","434597.75","166768.09","169748.44","132571.27","191719.72","148446.17","172253.69","152295.66","152441.53","179933.72","197856.69","150258.61","positive","No Fragments","",""
"1597","219.8991","2600.62","414580.03","413404.78","423553.22","441081.19","417664.78","452000","417109.97","418196.59","516135.88","379847.81","376953.66","432990.66","203036.39","191621.52","164392.58","170879.69","182162.42","199995.72","213922.84","203596.83","222495.06","176183.72","160190.7","positive","No Fragments","",""
"1598","313.1757","267.8","292654.06","219819.88","365343.25","332047.28","103121.18","278625.25","251779.91","306376.59","423923.78","307498.69","417992.66","218945.61","513697.91","364199.38","508654.5","389943","332737.13","489771.84","365830.91","402108.22","449155.16","448050.22","399003.47","positive","No Fragments","",""
"1599","127.0978","1578.97","254185.27","222925.52","298030.09","120068.71","29571.79","325781.75","77165.96","293941.06","246152.61","180850.84","342867.09","166675.31","205613.91","163962.98","406631.97","282841.63","479553.66","199391.75","153836.05","189670.59","41924.01","259072.7","510346.88","positive","Annotate in FrAnK","",""
"1600","164.0669","717.82","363247.44","333548.91","358561.47","353829.28","421454.84","374090.94","191329.89","337829.75","329685.69","368569.16","415478.47","437891.5","391161.41","382089.34","371219.03","382846.69","508856.5","367199.34","378854.81","385013.34","385121.97","370877.28","386136.25","positive","No Fragments","O-Ureido-D-serine,O-Ureido-L-serine","C20639,C20651"
"1601","186.9441","717.02","299729.94","302627.41","289591.56","276138.59","331792.81","266970.94","135427.56","299863.66","275606.47","306233.84","348414.78","357286.78","287504.53","394072.16","269496.28","416759.53","459841.09","390359.78","366290.5","377018.34","326608.47","293443.66","322692.31","positive","No Fragments","",""
"1602","226.9364","713.44","175654.06","185683.36","186861.92","169355.44","221515.25","164583.17","88979.69","151629.41","176916.92","168183.28","218401.02","237248.61","193742.39","247153.22","158308.81","212606.84","244626.11","210978.78","227557.8","232715.61","224331.08","169079.77","180225.61","positive","No Fragments","",""
"1603","268.8931","1705.69","430650.94","462846.59","458537.38","471655.34","465518.66","460577.47","508812.06","450648.63","447051.03","480356.75","327794.75","391165.41","367152.41","251894.13","397575.75","275594.13","249876.41","253607.58","273802.75","237851.61","299154.91","381963.22","361227.16","positive","No Fragments","",""
"1604","72.0808","1305.43","239970.38","280815.44","305638.19","301903.22","283417","270858.41","505121.94","259041.39","242110.72","290568.78","289217.09","255232.47","144019.22","147725.92","128529.28","133748.64","137224.39","127632.2","142811.8","136337.88","145868.78","141316.75","129773.84","positive","No Fragments","3-Buten-1-amine,Pyrrolidine","C12244,HMDB31641"
"1605","158.0812","584.1","287279.34","124190.91","503656.09","130975.74","84729.66","110506.89","109437.86","121064.29","367998.59","103764.78","120927.05","92547.75","193400.09","202080.97","245364.48","237060.23","267290.59","231100.58","215153.41","179212.63","182319.48","175420.7","302796.03","positive","No Fragments","2-Hydroxyethylclavam,2-Methylacetoacetic acid,2-Oxopentanoic acid,2-Oxovaleric acid,2-keto valeric acid,2methyl-3-ketovaleric acid,3-Methyl-2-oxobutanoic acid,3-Methylcrotonylglycine,3-Oxopentanoic acid,3-keto valeric acid,3-methyl-2-oxo-butanoic acid,5-Oxopentanoate,5-oxo-pentanoic acid,Acetoxyacetone,Alpha-ketoisovaleric acid,Ethadione,Ethyl pyruvate,Glutarate semialdehyde,Levulinic acid,Methylacetoacetic acid,N-Methylpyridinium,Paramethadione,Tiglylglycine","C00141,C02233,C02724,C03273,C06255,C07411,C17361,C17724,HMDB00019,HMDB00310,HMDB00459,HMDB00720,HMDB00959,HMDB01865,HMDB03771,HMDB12233,HMDB14755,HMDB31643,HMDB34466,LMFA01020274,LMFA01060004,LMFA01060005,LMFA01060006,LMFA01060161,LMFA01060192"
"1606","162.9291","2356.87","413079.56","456111.81","484974.34","467687","464917.34","481643.44","503377.09","474304.19","453863.56","467272.63","323620.16","407865.41","387183.91","233809.44","382548","236456.64","266994.97","239060.61","243985.47","209689.66","258550.39","369555.44","374355.69","positive","No Fragments","",""
"1607","300.2896","432.05","194078","423342.66","451287.75","503183.03","NA","239438.73","86838.34","445831.91","447386.88","329667.78","436562.31","NA","269663.66","179705.95","279418.28","326876.09","293320.16","269925.16","202796.05","194253.64","181251.31","188501.73","250450.08","positive","No Fragments","(8Z,d18:1) sphingosine,12-amino-octadecanoic acid,2-amino-octadecanoic acid,3-Dehydrosphinganine,3-ketosphinganine,5-hydroxy,3E-sphingosine,Palmitoyl-EA,Palmitoylethanolamide,Sphingosine","C00319,C02934,C16512,HMDB00252,HMDB01480,HMDB02100,LMFA01100008,LMFA01100009,LMFA08040013,LMSP01010001,LMSP01020002,LMSP01080004,LMSP01080008"
"1608","230.2478","200.93","417546.28","496891.25","426313.38","467804.16","415595.81","416179.66","424716.22","425337.66","436374.38","442918.22","443355.84","471975.38","387617.47","494805.63","472176.59","405667.41","406871.06","346801.31","447134.63","502165.5","418392.53","385844.59","296570.03","positive","No Fragments","Xestoaminol C","LMSP01080033"
"1609","208.1908","243.89","169492.5","178637.88","246195.75","333348.72","NA","501905.63","340531.63","258314.47","323343.72","305448.44","391164.69","358842.84","231128.3","336493.28","295309.44","265395.38","260122.63","341064.66","451965.59","390093.63","405693.94","283840.56","282954.53","positive","No Fragments","",""
"1610","186.9441","869.83","427001.81","379916.44","366057.84","407061.63","461919.13","362137.59","216568.05","343015.22","355114.88","409895.88","490744.94","500488.38","328394.13","396500.25","291213.41","396163.44","432732.31","372643.31","420654.09","416494.84","351828.19","331731.34","341273.09","positive","No Fragments","",""
"1611","178.0087","895.18","500109.19","338750.09","418390.97","259945.34","64970.34","484087","246584.41","390331.06","410365.53","447442.13","456307.78","483535.75","250327.22","311636.91","253505.67","237835.73","276899.53","271553.84","271559.06","233715.67","242433.95","199524.22","380099.13","positive","No Fragments","2,4-Dimethyl-5-vinylthiazole,Trifluoroacetic acid","HMDB14118,HMDB37285"
