"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000002190",0.0929847217182249,0.940326639731796,4.08045587181216,0.230446467079226,0.817744857094238,NA
"ENSMUSG00000002204",1568.77560234808,0.0187163480158386,0.0974998475797584,0.191962843844735,0.84777131041564,0.942163153462931
"ENSMUSG00000002205",873.371338182961,0.0861697851611791,0.0869516321875114,0.991008253592684,0.321681550081427,0.534590265472713
"ENSMUSG00000002210",1281.1499698251,-0.475540453733531,0.0845469459637501,-5.62457281351618,1.85967601152351e-08,4.09571502537916e-07
"ENSMUSG00000002221",505.311396357977,0.117304148558136,0.156783032060954,0.748194157340512,0.454343054659504,0.663929424265468
"ENSMUSG00000002222",1391.28379823504,0.402183510306265,0.116516972196988,3.45171611245028,0.000557033469016131,0.00429379965699935
"ENSMUSG00000002227",194.95094379111,0.12778013344522,0.199130041334073,0.641691894347815,0.52107325319601,0.720357594223192
"ENSMUSG00000002228",5.190859733196,0.110746021009066,0.834787001519255,0.132663806225439,0.894459268239745,0.952102127637343
"ENSMUSG00000002233",901.451639142972,-0.893140763648177,0.123785169446378,-7.21524854425373,5.38355552912946e-13,2.16512559323685e-11
"ENSMUSG00000002249",1.01958636597245,0.432732041565441,1.91651864483035,0.225790676617053,0.821364228823596,0.929127737881413
"ENSMUSG00000002250",70.2959916108139,0.434518233196112,0.256363031112067,1.69493328001012,0.090088078375398,0.227611953829177
"ENSMUSG00000002257",405.014186770839,0.289753163181361,0.111880978926687,2.58983400003347,0.00960222228843089,0.0462607063374926
"ENSMUSG00000002274",237.648360913312,0.169257257198114,0.185049632403153,0.91465870534326,0.360370829405487,0.571771899142496
"ENSMUSG00000002279",438.438091657319,0.164506362607156,0.117529008486474,1.39970858876163,0.161600600801992,0.342845311334501
"ENSMUSG00000002280",1162.25703483524,0.0893028444738033,0.105553024044994,0.846047238170421,0.397526392568109,0.608725087819515
"ENSMUSG00000002289",47.3156188775232,-0.742709963774776,0.324843376461309,-2.28636326794011,0.0222330153744057,0.0842849968087103
"ENSMUSG00000002297",479.6715403644,0.16181866171028,0.132000516379762,1.22589415669203,0.220238508014733,0.429790337370523
"ENSMUSG00000002307",948.049259557569,-0.36507477573892,0.138861174481605,-2.62906299836374,0.00856204977704929,0.0425081716630798
"ENSMUSG00000002308",154.794057001382,0.420723240188245,0.237221798226144,1.77354376087803,0.0761386472704429,0.205930551827952
"ENSMUSG00000002319",538.210697322186,0.213306111186596,0.134223750589412,1.58918306372688,0.112019068974366,0.266022725632218
"ENSMUSG00000002320",1255.05837456291,0.100451440543648,0.092977656156324,1.08038258541126,0.279971847413429,0.505808513393402
"ENSMUSG00000002324",0.5274871816565,0.759773128821887,3.34667209808855,0.227023474829169,0.820405488424117,NA
"ENSMUSG00000002325",988.135760113865,0.217048835725867,0.110868573046563,1.9577129006135,0.0502637106155329,0.148701434892853
"ENSMUSG00000002326",1236.82680459343,-0.133001423721611,0.0765990799496386,-1.73633186990047,0.0825051711873224,0.215585546181563
"ENSMUSG00000002329",717.138750422259,0.0687626227281438,0.0943497977012663,0.728805195172357,0.466120833230216,0.675802148492084
